Dataset Name,Webpage
AI4I 2020 Predictive Maintenance Dataset,https://archive.ics.uci.edu/ml/datasets/AI4I+2020+Predictive+Maintenance+Dataset
Air Quality,https://archive.ics.uci.edu/ml/datasets/Air+Quality
Concrete Compressive Strength,https://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength
Condition monitoring of hydraulic systems,https://archive.ics.uci.edu/ml/datasets/Condition+monitoring+of+hydraulic+systems
Electrical Grid Stability Simulated Data,https://archive.ics.uci.edu/ml/datasets/Electrical+Grid+Stability+Simulated+Data
Energy efficiency,https://archive.ics.uci.edu/ml/datasets/Energy+efficiency
Gas sensor array under dynamic gas mixtures,https://archive.ics.uci.edu/ml/datasets/Gas+sensor+array+under+dynamic+gas+mixtures
Power Consumption of TETUAN City,https://archive.ics.uci.edu/dataset/849/power+consumption+of+tetouan+city
Appliances energy prediction,https://archive.ics.uci.edu/ml/datasets/Appliances+energy+prediction
Electricity Load Diagrams 2011-2014,https://archive.ics.uci.edu/ml/datasets/ElectricityLoadDiagrams20112014
Individual household electric power consumption,https://archive.ics.uci.edu/ml/datasets/Individual+household+electric+power+consumption
SML2010,https://archive.ics.uci.edu/ml/datasets/SML2010
Superconductivity Data,https://archive.ics.uci.edu/dataset/464/superconductivty+data
Urban Land Cover,https://archive.ics.uci.edu/ml/datasets/Urban+Land+Cover
Car Evaluation,https://archive.ics.uci.edu/ml/datasets/Car+Evaluation
Wine Quality,https://archive.ics.uci.edu/ml/datasets/Wine+Quality
Combined Cycle Power Plant,https://archive.ics.uci.edu/ml/datasets/Combined+Cycle+Power+Plant
Beijing PM2.5 Data,https://archive.ics.uci.edu/dataset/381/beijing+pm2+5+data
Robot Execution Failures,https://archive.ics.uci.edu/ml/datasets/Robot+Execution+Failures
Steel Plates Faults,https://archive.ics.uci.edu/ml/datasets/Steel+Plates+Faults
Gas Sensor Array Drift at Different Concentrations,https://archive.ics.uci.edu/dataset/270/gas+sensor+array+drift+dataset+at+different+concentrations
Secure Water Treatment (SWaT) Dataset,https://itrust.sutd.edu.sg/itrust-labs_datasets/dataset_info/
Water Distribution (WADI) Dataset,https://itrust.sutd.edu.sg/itrust-labs_datasets/dataset_info/
PHM Data Challenge,https://phmsociety.org/conference/annual-conference-of-the-phm-society/annual-conference-of-the-prognostics-and-health-management-society-2015/phm-data-challenge-3/
Severstal Steel Defect Detection,https://www.kaggle.com/c/severstal-steel-defect-detection/data
Bosch Production Line Performance,https://www.kaggle.com/c/bosch-production-line-performance/data
iV2V and iV2I+ Industrial Datasets,https://github.com/fraunhoferhhi/ai4mobile-industrial
SECOM,http://archive.ics.uci.edu/ml/datasets/secom
Hill-Valley,https://archive.ics.uci.edu/ml/datasets/Hill-Valley
APS Failure at Scania Trucks Data Set,https://archive.ics.uci.edu/ml/datasets/APS+Failure+at+Scania+Trucks
